OBJECTID,WELLWIDTH,WELLLENGTH,PAREAWIDTH,LOWWELL,SPECIES,STNAME,Location 1
114,3,3,0,Low,Platanus racemosa,30TH ST,"400
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
109,3,3,0,None,Pyrus calleryana cvs,HARRISON ST,"1901
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
105,0,0,3,None,Platanus acerifolia,KEMPTON AV,"3301
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
104,0,0,3,None,Prunus cerasifera/blireiana,KEMPTON AV,"3301
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
115,2,2,0,Low,Platanus racemosa,30TH ST,"400
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
94,4,9,0,Low,Platanus acerifolia,TELEGRAPH AV,"2447
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
89,3,3,0,Moderate,Prunus cerasifera/blireiana,FAIRMOUNT AV,"55
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
90,3,5,0,None,Pyrus kawakami,BELLEVUE AV,"399
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
97,0,0,6,None,Eucalyptus globulus,JEFFERSON ST,"433
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
106,3,3,0,None,Platanus acerifolia,WEBSTER ST,"2923
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
110,0,0,3,None,Podocarpus gracilior,28TH ST,"537
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
92,3,3,0,Low,Platanus acerifolia,TELEGRAPH AV,"2100
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
99,5,7,0,Moderate,Robinia hybrid,M L KING JR WY,"1900
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
91,3,6,0,Low,Quercus agrifolia,17TH ST,"585
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
102,4,4,0,None,Platanus acerifolia,BROADWAY,"2147
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
6456,0,0,3,None,Other,38TH ST,"349
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
142,4,5,0,High,Lophostemon confertus,FRANKLIN ST,"330
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
137,0,0,3,None,Liquidambar styraciflua,PERKINS ST,"220
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
143,6,9,0,Low,Lophostemon confertus,13TH ST,"260
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
144,2,3,0,Low,Podocarpus gracilior,WAVERLY ST,"2306
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
122,0,0,4,None,Platanus acerifolia,M L KING JR WY,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
118,3,3,0,Low,Platanus racemosa,30TH ST,"400
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
125,2,5,0,Low,Prunus sp,WEBSTER ST,"2823
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
136,5,5,0,None,Gleditsia triacanthos,10TH ST,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
141,2,3,0,Low,Lophostemon confertus,15TH ST,"389
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
128,0,0,3,None,Cinnamomum camphora,KEMPTON AV,"3270
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
130,5,5,0,Moderate,Ginkgo biloba,CLAY ST,"1301
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
138,5,5,0,None,Platanus acerifolia,BROADWAY,"1000
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
120,4,4,0,None,Platanus acerifolia,BROADWAY,"1740
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
139,5,5,0,None,Platanus acerifolia,BROADWAY,"1000
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
131,5,5,0,None,Ginkgo biloba,CLAY ST,"1301
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
140,5,5,0,None,Platanus acerifolia,BROADWAY,"1000
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
123,3,3,0,Moderate,Magnolia grandiflora,M L KING JR WY,"1701
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
121,4,4,0,Low,Magnolia grandiflora,M L KING JR WY,"829
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
129,4,4,0,None,Magnolia grandiflora,CLAY ST,"1301
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
145,0,0,6,None,Lophostemon confertus,JACKSON ST,"1525
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
133,3,3,0,None,Lophostemon confertus,10TH ST,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
134,0,0,0,None,Prunus cerasifera/blireiana,10TH ST,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
126,5,10,0,Low,Platanus acerifolia,GRAND AV,"180
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
135,4,5,0,None,Crataegus phaenopyrum,10TH ST,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
3341,0,0,5.5,None,Liquidambar styraciflua,ARTHUR ST,"7215
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
147,3,4,0,Moderate,Liriodendron tulipifera,GROVE ST,"2100
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
165,0,0,5,None,Cercis sp,JACKSON ST,"612
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
172,3,6,0,None,Cinnamomum camphora,ADAMS ST,"374
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
167,3,3,0,None,Platanus acerifolia,14TH ST,"286
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
173,4,4,0,None,Platanus acerifolia,8TH ST,"435
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
149,3,3,0,Low,Pyrus kawakami,JACKSON ST,"308
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
170,4,4,0,None,Prunus sp,4TH ST,"311
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
166,3,3,0,None,Platanus acerifolia,14TH ST,"250
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
174,3,4,0,None,Lophostemon confertus,ALICE ST,"808
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
148,4,6,0,None,Prunus cerasifera/blireiana,HARRISON ST,"2801
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
168,0,0,3,None,Unknown,JACKSON ST,"1906
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
158,4,4,0,None,Schinus terebinthefolia,MADISON ST,"800
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
171,3,3,0,Low,Magnolia grandiflora,MADISON ST,"1428
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
152,2,4,0,Low,Lophostemon confertus,FRANKLIN ST,"1970
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
146,0,0,6,None,Trachycarpus fortunei,JACKSON ST,"1525
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
157,0,0,6,None,Unknown,LAKESIDE DR,"300
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
154,2,3,0,Low,Stump,M L KING JR WY,"1827
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
159,2,3,0,Moderate,Lophostemon confertus,15TH ST,"314
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
155,6,6,0,None,Lophostemon confertus,GRAND AV,"111
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
169,0,0,3,None,Unknown,JACKSON ST,"1906
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
164,3,3,0,None,Pyrus calleryana cvs,FRANKLIN ST,"763
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
162,0,0,5,None,Pyrus calleryana cvs,4TH ST,"55
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
160,4,4,0,None,Platanus acerifolia,WASHINGTON ST,"806
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
153,0,0,5,None,Ulmus americana,17TH ST,"672
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
31139,3,3,0,Low,Lagerstroemia indica,EAST 14TH ST,"655
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
22980,0,0,5.5,None,Prunus cerasifera/blireiana,96TH AV,"1801
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
179,5,5,0,None,Magnolia grandiflora,KAISER PZ,"1
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
180,5,5,0,None,Magnolia grandiflora,KAISER PZ,"1
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
185,3,3,0,None,Podocarpus gracilior,WAVERLY ST,"2349
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
202,0,0,2,None,Liquidambar styraciflua,STATEN AV,"412
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
195,3,6,0,Low,Lophostemon confertus,HARRISON ST,"1800
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
176,3,3,0,Low,Platanus acerifolia,HARRISON ST,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
200,5,5,0,None,Platanus acerifolia,10TH ST,"487
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
175,0,0,5,None,Liquidambar styraciflua,ALICE ST,"1475
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
182,0,0,5,None,Platanus acerifolia,GRAND AV,"291
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
188,3,4,0,Low,Ficus retusa nitida,ALICE ST,"900
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
186,2,2,0,None,Liquidambar styraciflua,14TH ST,"246
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
178,0,0,2,None,Magnolia soulangiana,LAGUNITAS AV,"428
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
201,0,0,3,None,Liquidambar styraciflua,STATEN AV,"412
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
189,0,0,3,None,Platanus acerifolia,FAIRMOUNT AV,"376
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
199,0,0,2,None,Prunus cerasifera/blireiana,ORANGE ST,"448
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
198,0,0,6,None,Platanus acerifolia,JEFFERSON ST,"231
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
203,4,4,0,High,Prunus cerasifera/blireiana,PERKINS ST,"281
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
187,2,3,0,Moderate,Liquidambar styraciflua,17TH ST,"150
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
197,3,3,0,Moderate,Quercus sp,VAN BUREN AV,"469
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
192,4,8,0,Low,Platanus acerifolia,14TH ST,"210
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
193,6,6,0,None,Lophostemon confertus,HARRISON ST,"1800
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
190,3,6,0,Moderate,Pyrus calleryana cvs,3RD ST,"102
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
191,0,0,6,None,Robinia hybrid,VAN BUREN AV,"525
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
21886,2,4,0,Low,Pyrus calleryana cvs,REDDING ST,"3708
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
19364,3,4,0,None,Lophostemon confertus,27TH ST,"265
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
18511,0,0,3,None,Unknown,None,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
211,0,0,0,Low,Platanus acerifolia,HARRISON ST,"200
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
218,2,5,0,Low,Lophostemon confertus,HARRISON ST,"2921
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
230,4,5,0,High,Platanus acerifolia,GRAND AV,"268
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
204,3,3,0,Low,Platanus acerifolia,14TH ST,"190
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
216,2,30,0,Low,Prunus sp,PARK VIEW TR,"277
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
229,3,3,0,None,Pyrus calleryana cvs,WEBSTER ST,"226
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
231,0,0,2,None,Acer sp,VERNON ST,"425
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
223,5,12,0,None,Platanus acerifolia,GRAND AV,"291
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
221,3,3,0,None,Unknown,3RD ST,"655
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
222,3,5,0,Low,Platanus acerifolia,BROADWAY,"300
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
213,4,5,0,Low,Eucalyptus ficifolia,BROADWAY,"2910
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
207,4,6,0,Low,Platanus acerifolia,12TH ST,"125
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
212,2,5,0,Low,Unknown,WEBSTER ST,"1975
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
214,0,0,3,None,Quercus sp,RICHMOND BL,"3015
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
206,3,5,0,Low,Pistacia chinensis,28TH ST,"280
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
220,3,3,0,None,Magnolia grandiflora,3RD ST,"655
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
210,3,3,0,High,Platanus acerifolia,HARRISON ST,"200
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
219,4,4,0,Low,Magnolia grandiflora,CLAY ST,"429
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
215,4,6,0,Low,Ficus retusa nitida,WEBSTER ST,"1830
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
205,3,3,0,None,Pistacia chinensis,28TH ST,"280
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
208,0,0,3,None,Acer sp,ADAMS ST,"382
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
256,3,3,0,High,Pistacia chinensis,MADISON ST,"1800
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
247,5,5,0,None,Platanus acerifolia,11TH ST,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
254,3,6,0,None,Lophostemon confertus,10TH ST,"250
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
259,0,0,4,None,Platanus acerifolia,2ND ST,"590
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
258,0,0,4,None,Betula sp,EUCLID AV,"299
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
245,6,8,0,Low,Platanus acerifolia,2ND ST,"331
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
241,4,5,0,None,Callistemon sp,4TH ST,"253
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
240,2,3,0,Low,Platanus acerifolia,HARRISON ST,"2337
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
239,3,6,0,Low,Pyrus calleryana cvs,2ND ST,"679
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
238,3,3,0,Moderate,Platanus acerifolia,14TH ST,"328
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
261,4,5,0,Moderate,Ficus retusa nitida,2ND ST,"508
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
243,1,2,0,Moderate,Pyrus calleryana cvs,JACKSON ST,"1111
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
234,2,2,0,Low,Fraxinus o. `Raywood',8TH ST,"107
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
251,6,9,0,None,Liquidambar styraciflua,ALICE ST,"1553
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
236,2,2,0,Moderate,Fraxinus o. `Raywood',8TH ST,"107
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
249,0,0,4,None,Platanus acerifolia,MACARTHUR BL,"205
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
246,5,10,0,None,Platanus acerifolia,GRAND AV,"366
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
248,2,3,0,Moderate,Lophostemon confertus,14TH ST,"125
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
233,3,3,0,None,Lophostemon confertus,HARRISON ST,"1261
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
250,8,12,0,None,Liquidambar styraciflua,ALICE ST,"1553
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
235,2,2,0,High,Fraxinus o. `Raywood',8TH ST,"107
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
255,4,4,0,Low,Lophostemon confertus,FRANKLIN ST,"1901
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
237,3,3,0,Moderate,Platanus acerifolia,LAKESIDE DR,"1401
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
260,0,0,6,None,Platanus acerifolia,2ND ST,"590
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
23453,0,0,2,None,Platanus acerifolia,TRESTLE GLEN RD,"701
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
18397,0,0,2,None,Raphiolepsis,PARKER AV,"2738
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
11859,3.5,5.5,0,Low,Other,LAWTON AV,"5200
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
287,0,0,4,None,Alnus rhombifolia,BELLEVUE AV,"350
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
267,4,4,0,None,Platanus acerifolia,BROADWAY,"1100
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
